Material Name,Material Code,Item Category,Item Group,UOM
08 WAY SINGLE PHASE LDB â€“ LEGRAND MAKE,08 WAY SINGLE PHASE LDB â€“ LEGRAND MAKE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0803501140 â€“ SILENCER,0803501140 â€“ SILENCER,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820300050 PISTON ASSEMBLY (KC),0820300050 PISTON ASSEMBLY (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820400050 KC LP CONN ROD ASSLY,0820400050 KC LP CONN ROD ASSLY,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820405050 SAFETY PLATES (KC),0820405050 SAFETY PLATES (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820407050 CON ROD WITH BOLT(KC),0820407050 CON ROD WITH BOLT(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820407050 LP CONNECTING ROD (KC),0820407050 LP CONNECTING ROD (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820407150 CON ROD WITH BOLT(KC),0820407150 CON ROD WITH BOLT(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820706050 PRESSURE REDUCER PIN (KC),0820706050 PRESSURE REDUCER PIN (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820707050 PISTON FOR PRESSURE (KC),0820707050 PISTON FOR PRESSURE (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820708050 HYDRAULIC TIME DELAY PLUNGER (KC),0820708050 HYDRAULIC TIME DELAY PLUNGER (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820709050 PISTON FOR TIME DELAY (KC),0820709050 PISTON FOR TIME DELAY (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820712050 SPRING (KC),0820712050 SPRING (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0820902050 SPRING (KC),0820902050 SPRING (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0821900350 ALUMINIUM PKG SET (KC),0821900350 ALUMINIUM PKG SET (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0822828050 O RING (KC),0822828050 O RING (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0822865051 GASKET (KC),0822865051 GASKET (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850600050 VALVE STOP TAL 50 (KC),0850600050 VALVE STOP TAL 50 (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850600150 TAL VALVE ASSEMBLY(KC),0850600150 TAL VALVE ASSEMBLY(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850602650 GLAND PACKING (KC),0850602650 GLAND PACKING (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850641050 GASKET (KC),0850641050 GASKET (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
